jid,sk_gap,alignn_gap,dft_gap
cc-476,5.500455,3.3098292350769043,6.815091685307695
cc-480,5.98994,4.38748025894165,7.128294740999015
cc-484,5.947929,3.9758100509643555,7.444763163039856
cc-488,10.149367,4.0459885597229,6.958767804686511
cc-492,6.512517,4.300315856933594,8.089400903207313
cc-496,8.388067,4.4989423751831055,8.604784558706324
cc-500,14.779022,5.135638236999512,9.292416289142441
cc-504,5.761054,3.7978382110595703,6.847201121077961
cc-508,6.175893,4.6040143966674805,7.4189123461061675
cc-512,3.331597,1.6905094385147095,4.160893070874025
cc-516,11.873419,3.624094247817993,7.692931005603268
cc-520,5.440864,3.130056381225586,5.861060483523355
cc-524,8.358712,4.57020378112793,8.597437484419908
cc-528,5.584721,4.2076416015625,6.794138917898284
cc-532,8.051593,3.9223833084106445,8.263281661319175
cc-536,12.314982,4.332520008087158,7.561227896172685
cc-540,6.217891,4.429811477661133,7.36911550927601
cc-544,1.454855,1.8658175468444824,3.880343678677889
cc-548,5.992368,4.17482328414917,7.103532379515167
cc-552,5.555448,3.9157357215881348,6.623523526135939
cc-556,13.808308,5.120362281799316,9.93324443523546
cc-560,6.167907,1.603877067565918,6.913324789655711
cc-564,5.692116,3.270655393600464,5.748405344464965
cc-568,2.965471,3.7405967712402344,-0.0010884554498394757
cc-572,5.792794,4.758510589599609,7.387075024198362
cc-576,4.877044,3.363257884979248,6.015349043538106
cc-580,6.15676,2.8358240127563477,1.832142635942372
cc-584,7.08054,2.2893857955932617,5.520918155448505
cc-588,6.809966,0.9861804246902466,2.0321463248503835
cc-592,19.252857,7.938224792480469,14.532240824669891
cc-596,5.488977,3.205753803253174,6.570189209093802
cc-600,9.92805,3.768308639526367,7.05237497337271
cc-604,6.461329,2.845431089401245,6.633863852909414
cc-608,6.795516,4.972609996795654,7.559323099135466
cc-612,10.14547,3.98545503616333,7.044211557498913
cc-616,6.491343,4.230168342590332,8.076883665534156
cc-620,9.109006,3.663839101791382,6.703525001699144
cc-624,5.188421,4.029289722442627,5.214790060181138
cc-628,13.77796,5.747391700744629,5.1693470451503405
cc-632,3.40007,3.5293173789978027,9.137039273677852
cc-636,1.973454,4.098454475402832,3.398974255986361
cc-640,5.666596,3.0187878608703613,5.556020843705831
cc-644,15.547323,4.606975555419922,6.686109714501711
cc-648,14.992729,5.408026695251465,6.405560322305574
cc-652,6.716611,4.575863838195801,7.109246770626824
cc-656,7.1378,4.216418743133545,7.316053306096333
cc-660,4.220403,2.636254072189331,4.092864605259055
cc-664,4.442868,2.944786548614502,5.337513412150546
cc-668,13.427879,4.553792953491211,8.439883558055637
cc-672,10.193862,4.102354049682617,8.035250244577798
cc-676,0.174832,2.4350836277008057,2.4648073661615935
cc-680,4.281409,3.7291419506073,5.229484208753974
cc-684,6.45287,4.159979343414307,7.0088367553791295
cc-688,13.917545,4.472713470458984,9.093501055684271
cc-692,5.106566,3.1628432273864746,6.187052890750292
cc-696,5.52508,2.752734661102295,5.98568863252998
cc-700,5.418268,2.3030991554260254,5.181320055098575
cc-704,17.697281,3.811567783355713,6.873868279599028
cc-708,4.08611,3.5999155044555664,1.4734965652202503
cc-712,8.286077,4.66127872467041,7.75524508010658
cc-716,12.778321,5.551784992218018,8.49974860779681
cc-720,2.70684,3.721034288406372,4.859953583533457
cc-724,7.780659,2.927851676940918,7.434422836266381
cc-728,13.361473,4.047273635864258,7.865723308265291
cc-732,14.44635,4.991536617279053,10.216514966056195
cc-736,4.780504,3.9940195083618164,6.056166122907088
cc-740,5.258824,3.698908567428589,6.523113510888243
cc-744,4.512715,4.012149333953857,5.2447225850517265
cc-748,9.488067,3.4954299926757812,7.110879453801584
cc-752,7.693276,3.8403849601745605,7.604766114166266
cc-756,7.076865,2.8829445838928223,9.220034001728113
cc-767,7.232595,4.664595603942871,7.282855414876228
cc-771,5.392454,1.2370961904525757,5.2207765651552585
cc-775,6.338768,4.343169212341309,7.019177082152605
cc-779,10.993475,7.333263397216797,12.245668038419518
cc-783,7.402114,3.54622745513916,6.855092423089296
cc-787,19.836878,6.94965934753418,11.287010900973362
cc-791,8.93743,6.123578071594238,4.053680209064832
cc-795,7.195963,2.7439639568328857,6.232768019643551
cc-799,0.815949,2.239093780517578,6.1922230541370284
cc-803,3.481429,1.3418272733688354,3.874629287566232
cc-807,1.454489,1.100189208984375,3.1916234927919325
cc-811,5.830257,3.1779873371124268,4.662126805525124
cc-815,5.024279,3.230299234390259,6.5971284814773306
cc-819,8.171626,2.116903305053711,6.661347353017862
cc-823,11.108196,4.446361541748047,7.712251089837919
cc-827,9.956347,4.249061584472656,8.333214923971365
cc-831,12.526701,5.504502296447754,7.160948404494202
cc-835,10.372731,6.329663276672363,9.157992041087262
