jid,species,homo_raw,lumo_raw,hl_gap_hartree_eV,hl_gap_ev_eV,sk_bandgap_eV,excluded
cc-903,H2CONH2+,-0.574620,-0.266480,8.384917,0.308140,7.957853,
cc-907,NCNH3+,-0.587110,-0.239500,9.458950,0.347610,8.390650,
cc-911,C3H7NH3+,-0.503240,-0.171200,9.035269,0.332040,1.677605,
cc-915,C2H6N+,-0.592070,-0.171850,11.434769,0.420220,5.295800,
cc-919,S2Cl2,-0.289850,-0.122560,4.552193,0.167290,5.127308,
cc-923,SiCl4,-0.343160,-0.050880,7.953344,0.292280,14.472799,
cc-927,GeCl4,-0.342610,-0.108220,6.378077,0.234390,7.356262,
cc-931,OClO-,0.051880,0.236030,5.010977,0.184150,5.744546,
cc-935,N2O5,-0.348350,-0.117510,6.281476,0.230840,5.674958,
cc-939,NO2-,0.056230,0.242420,5.066488,0.186190,1.939229,
cc-943,BHCl2,-0.329120,-0.067270,7.125301,0.261850,5.061258,
cc-947,SF5+,-0.708660,-0.374560,9.091324,0.334100,6.217205,
cc-951,Al2H6,-0.309790,-0.045930,7.179996,0.263860,7.096376,
cc-955,GeS,-0.281730,-0.093960,5.109482,0.187770,4.254889,
cc-959,NO3-,0.000460,0.216990,5.892081,0.216530,5.916911,
cc-963,NS+,-0.716830,-0.448280,7.307618,0.268550,4.669418,
cc-967,FO-,0.104160,0.325280,6.016982,0.221120,5.603313,
cc-971,C3,-0.326440,-0.157900,4.586207,0.168540,2.004479,
cc-975,Li2S,-0.156920,-0.042040,3.126044,0.114880,4.754887,
cc-979,LiO-,0.042580,0.099800,1.557036,0.057220,7.051739,
cc-983,PO2-,0.000530,0.193240,5.243906,0.192710,3.460324,
cc-987,P2,-0.287430,-0.100620,5.083359,0.186810,2.473537,
cc-991,Cu2,-0.157220,-0.076130,2.206571,0.081090,0.574315,
cc-995,BS-,0.032850,0.218410,5.049345,0.185560,0.588645,
cc-1003,PS+,-0.609140,-0.395890,5.802828,0.213250,2.641481,
cc-1007,CP-,0.008270,0.212850,5.566905,0.204580,4.552086,
cc-1011,NaO-,0.027160,0.079670,1.428870,0.052510,6.864830,
cc-1015,BO+,-0.722980,-0.605360,3.200603,0.117620,4.439846,
cc-1019,Ge2,-0.191910,-0.162510,0.800015,0.029400,0.527065,
cc-1023,Si2,-0.215200,-0.187910,0.742599,0.027290,0.475188,
cc-1027,BH3,-0.351420,-0.065480,7.780824,0.285940,4.387147,
cc-1031,GaCl3,-0.335340,-0.092250,6.614816,0.243090,6.725686,
cc-1035,TiO2,-0.238900,-0.110460,3.495030,0.128440,4.980526,
cc-1039,F3PO,-0.361160,0.000590,9.843719,0.361750,18.418175,
cc-1043,HOBr,-0.269950,-0.093380,4.804714,0.176570,5.007098,
cc-1047,ND3,-0.252310,0.078610,9.004792,0.330920,0.430462,
cc-1051,GeH+,-0.548420,-0.389750,4.317631,0.158670,3.000081,
cc-1055,BeF+,-0.691670,-0.431480,7.080131,0.260190,7.741031,
cc-1059,ClF5,-0.372790,-0.163010,5.708405,0.209780,8.858267,
cc-1063,B2Cl4,-0.305400,-0.079650,6.142970,0.225750,4.934088,
cc-1067,BHF2,-0.377000,0.000790,10.280190,0.377790,7.029605,
cc-1071,PH2+,-0.614470,-0.476330,3.758981,0.138140,11.962300,
cc-1075,BH,-0.223760,-0.075020,4.047422,0.148740,2.620601,
cc-1079,SeO3,-0.345090,-0.140530,5.566361,0.204560,5.677302,
cc-1087,N2F2,-0.354760,-0.093320,7.114145,0.261440,2.590460,
cc-1091,BeCl-,0.061680,0.200010,3.764151,0.138330,4.008820,
cc-1095,SO,-0.220460,-0.175060,1.235397,0.045400,4.367554,
cc-1099,Al2Cl6,-0.337700,-0.056240,7.658917,0.281460,10.036541,
cc-1103,BrCl,-0.296220,-0.142840,4.173682,0.153380,4.238788,
cc-1111,GeF2,-0.310200,-0.096470,5.815890,0.213730,3.480557,
cc-1115,SiCl+,-0.591140,-0.365660,6.135623,0.225480,3.065906,
cc-1119,AlH,-0.206090,-0.070770,3.682245,0.135320,3.422150,
cc-1123,ZnH2,-0.283860,-0.030060,6.906250,0.253800,5.995170,
cc-1127,HNO,-0.243620,-0.105610,3.755443,0.138010,1.511477,
cc-1131,Li2,-0.132110,-0.050610,2.217728,0.081500,1.527905,
cc-1135,BH2-,0.128440,0.230190,2.768759,0.101750,1.199396,
cc-1139,AlO-,0.003310,0.175050,4.673283,0.171740,3.205223,
cc-1143,HBS,-0.308600,-0.049960,7.037953,0.258640,5.198990,
cc-1147,C6H10,-0.216150,-0.014500,5.487176,0.201650,4.461623,
cc-1151,NH4+,-0.826540,-0.210840,16.754051,0.615700,17.625683,
cc-1155,BF4-,-0.115120,0.458420,15.606818,0.573540,26.024242,
cc-1159,MgCl-,0.013330,0.135720,3.330402,0.122390,2.612590,
cc-1163,SCl-,0.012630,0.147380,3.666734,0.134750,4.676075,
cc-1167,AsF,-0.184940,-0.157550,0.745320,0.027390,10.417041,
cc-1171,BrO-,0.059710,0.226510,4.538859,0.166800,4.944514,
cc-1175,SCN-,-0.015070,0.272370,7.821641,0.287440,6.681415,
cc-1179,C3H5Cl,-0.248580,0.010210,7.042035,0.258790,6.363187,
cc-1183,C6H4,-0.229380,-0.053670,4.781313,0.175710,4.378735,
cc-1187,C2H4N4,-0.292310,-0.026890,7.222446,0.265420,4.253619,
cc-1191,C5H5N,-0.261840,0.009470,7.382721,0.271310,5.351074,
cc-1195,GaCl,-0.270310,-0.072730,5.376426,0.197580,4.890613,
cc-1199,H2CCNH,-0.234930,-0.001860,6.342158,0.233070,5.138267,
cc-1203,H3S+,-0.655970,-0.265110,10.635842,0.390860,16.724522,
