id,sk_gap,alignn_gap,dft_gap
agm1000000151,0.2127003669738769,1.050323724746704,0.2936
agm1000015813,1.525010585784912,1.4220337867736816,1.314
agm1000001808,0.0322775840759277,0.7368825674057007,0.0
agm1000001876,0.0090799331665039,0.3224005401134491,0.0
agm1000005743,0.1248717308044433,0.6769678592681885,0.1747
agm1000010444,0.2381019592285156,1.500436544418335,0.0643
agm1000001388,1.239851951599121,0.09544484317302704,0.0
agm1000018889,0.2312841415405273,0.4044296443462372,0.238
agm1000002218,2.26106858253479,0.5990227460861206,0.5901000000000001
agm1000019960,0.0016031265258789,1.0044127702713013,0.0
agm1000008071,0.4817419052124023,0.8353803157806396,0.0
agm1000005048,0.0654685497283935,1.6296472549438477,0.0
agm1000003984,2.8209285736083984,1.1440482139587402,1.1409
agm1000002960,6.742856025695801,3.785074472427368,3.6196
agm1000008079,7.811556816101074,4.649048805236816,4.8128
agm1000008202,7.522032737731934,4.8885297775268555,4.1497
agm1000001905,11.685258865356444,5.792537689208984,6.4249
agm1000013161,10.318795204162598,5.925007343292236,5.5136
agm1000005828,9.400672912597656,6.291194915771484,4.6097
agm1000010121,5.145211696624756,3.2743701934814453,3.3086
agm1000005739,5.861000061035156,2.8991994857788086,2.8788
agm1000014811,7.329550743103027,2.2642781734466553,2.1346
agm1000018765,6.6435322761535645,2.605527400970459,2.4305
agm1000017787,7.397056579589844,2.589900016784668,2.5004
agm1000014327,5.50387716293335,2.3721280097961426,1.5629
agm1000015921,6.285591125488281,2.4376933574676514,1.9638
agm1000009537,7.151565074920654,2.3569846153259277,1.7514
agm1000012453,5.379058361053467,2.4593119621276855,1.4947
agm1000004837,8.1043062210083,2.4679062366485596,1.4761
agm1000005275,1.5590884685516355,1.7492812871932983,0.7333000000000001
agm1000016202,4.80390739440918,2.103529691696167,2.5828
agm1000017248,4.00215482711792,2.0883023738861084,1.6896
agm1000016179,4.658902168273926,2.3819899559020996,2.5135
agm1000015645,3.8206632137298584,2.184896945953369,1.8667
agm1000004590,4.240926265716553,2.4240217208862305,2.1143
agm1000000420,5.57506799697876,2.965543270111084,2.6187
agm1000003425,1.4788916110992432,1.7451703548431396,1.3087
agm1000003682,0.4506585597991943,1.942129135131836,0.5982000000000001
agm1000016393,4.161520957946777,1.8551342487335205,0.912
agm1000016929,4.2818922996521,1.7724964618682861,2.1867
agm1000013862,4.964700698852539,1.9477663040161133,2.8262
agm1000015598,4.027649879455566,1.6394637823104858,1.6216
agm1000009974,5.181928634643555,1.729853630065918,2.7493
agm1000006407,4.585715293884277,1.7764818668365479,2.3108
agm1000013689,5.2343573570251465,2.6254944801330566,2.4392
agm1000017567,3.516106128692627,1.233529806137085,2.3337
agm1000019346,3.8754324913024902,1.3602794408798218,2.2027
agm1000016263,3.165334463119507,1.0050394535064697,1.8216
agm1000002581,2.9526114463806152,1.1707862615585327,1.189
agm1000011344,2.8259665966033936,1.3549137115478516,2.0772
agm1000015775,3.749145984649658,1.3972917795181274,2.3368
agm1000018316,2.3052163124084473,1.040427565574646,0.0096
agm1000009542,3.941359758377075,1.2921137809753418,2.2487
agm1000004505,0.8821539878845215,0.9625180959701538,0.0
agm1000005801,2.9515457153320312,1.296046257019043,0.9859
agm1000003199,4.266584873199463,3.321084976196289,1.344
agm1000006352,0.23051118850708,0.12207141518592834,0.4386
agm1000005913,0.0491619110107421,0.11300595849752426,0.1282
agm1000018293,2.7174882888793945,0.00829288363456726,0.886
agm1000007932,3.540712356567383,0.7322721481323242,1.7971
agm1000000891,0.1853327751159668,0.6284420490264893,0.6998000000000001
agm1000010755,4.291170120239258,1.7657248973846436,3.0533
agm1000010790,6.837627410888672,2.6077632904052734,3.7889
agm1000001659,6.636580467224121,2.779571533203125,2.6465
agm1000009272,6.335134983062744,2.5888147354125977,3.7761
agm1000017066,7.120165824890137,2.867361068725586,4.196
agm1000000093,6.866131782531738,2.945206642150879,2.661
agm1000002187,6.027124404907227,2.0883302688598633,2.8058
agm1000017127,5.744569301605225,1.6358962059020996,3.2019
agm1000009100,0.0159187316894531,0.12452705204486847,0.0
agm1000007098,2.36454176902771,1.1296359300613403,1.2094
agm1000017170,3.379796981811523,0.23098748922348022,0.8758
agm1000011895,3.352139949798584,0.48350030183792114,1.3775
agm1000011571,2.9949069023132324,0.32583439350128174,0.1194
agm1000017390,2.397883892059326,0.31720319390296936,1.2545
agm1000007123,5.84947395324707,1.2156673669815063,2.3108
agm1000010196,5.434111595153809,1.4007811546325684,1.8962
agm1000001546,1.6886992454528809,0.3732163906097412,0.2055
agm1000019985,1.918297529220581,0.09435296058654785,1.0724
agm1000004489,0.0215396881103515,0.013851463794708252,0.0
agm1000003347,4.1209869384765625,1.4884521961212158,0.6199
agm1000016648,2.086217880249023,1.0091514587402344,1.635
agm1000015880,5.568285942077637,1.7406291961669922,3.0791
agm1000019279,1.7960567474365234,1.0983428955078125,1.0769
agm1000018625,0.3911750316619873,1.2043428421020508,0.709
agm1000009293,1.9204943180084229,1.0252670049667358,1.4403
agm1000007427,0.2075443267822265,0.5287213325500488,0.4861
agm1000017384,4.518808364868164,1.5423576831817627,1.0756
agm1000003577,0.7225127220153809,0.03230026364326477,0.0
agm1000018291,2.311230421066284,0.7235660552978516,1.4394
agm1000011834,3.3859593868255615,0.8687394857406616,1.5919
agm1000000861,3.9763896465301514,0.8979666233062744,2.5307
agm1000018646,0.0630149841308593,0.9330387115478516,0.0
agm1000005100,0.2747607231140136,-0.018199041485786438,0.0
agm1000012745,1.6767463684082031,0.27227601408958435,0.0
agm1000009324,2.695919990539551,1.318360447883606,0.3445
agm1000017438,3.0890283584594727,0.4616301953792572,2.2182
agm1000015984,3.2569451332092285,0.7093982696533203,1.8581
agm1000017032,2.425593376159668,0.28907397389411926,1.7186
agm1000015075,2.151991367340088,0.24894672632217407,1.197
agm1000019340,1.7080698013305664,0.24713954329490662,0.5296000000000001
agm1000000588,0.0057184696197509,0.07669402658939362,0.0
agm1000006231,0.1398243904113769,-0.003489285707473755,0.0
agm1000012855,0.0024728775024414,0.1878964751958847,0.0
agm1000012904,2.097538948059082,0.31107884645462036,0.0
agm1000015581,30.232248306274418,6.885831832885742,9.4982
agm1000004140,0.0180182456970214,1.3941566944122314,0.0
agm1000005050,9.60626983642578,5.4723615646362305,7.1864
agm1000017307,9.467876434326172,4.735839366912842,7.1944
agm1000005634,0.0552635192871093,0.15687337517738342,0.0
agm1000017333,0.0031194686889648,0.3118304908275604,0.7181000000000001
agm1000006406,0.2071995735168457,0.014774873852729797,0.0185
agm1000003292,0.1163721084594726,0.07696247100830078,0.0497
agm1000001396,0.0497703552246093,0.01690135896205902,0.0
agm1000010908,0.3517003059387207,0.2234531193971634,0.14
agm1000010528,0.0103015899658203,0.017887666821479797,0.0
agm1000002554,0.0115618705749511,0.023084968328475952,0.0
agm1000000356,0.0141205787658691,0.06116171181201935,0.0
agm1000004873,0.0003523826599121,0.047394223511219025,0.96
agm1000001928,0.0034513473510742,-0.009659603238105774,0.0
agm1000000876,0.0031580924987792,-0.014483928680419922,0.0
agm1000004627,0.003458023071289,-0.005068928003311157,0.0
agm1000006028,0.0148234367370605,-0.01262730360031128,0.0174
agm1000018581,0.0120701789855957,0.03239288926124573,0.0
agm1000005066,0.0297398567199707,0.028629347681999207,0.0
agm1000014240,0.2186527252197265,0.07538565248250961,0.0
agm1000012854,0.2738881111145019,0.07794610410928726,0.0
agm1000000965,0.0051236152648925,0.005283281207084656,0.0
agm1000000816,0.0628504753112793,0.06076522544026375,0.0
agm1000018938,0.0005760192871093,0.1452261209487915,0.1248
agm1000019848,0.0004525184631347,0.35959330201148987,0.0785
agm1000003609,0.0127739906311035,0.05360943078994751,0.0753
agm1000010429,1.0563206672668457,0.015028715133666992,1.0133
agm1000001323,0.6362752914428711,0.07158303260803223,0.0
agm1000018156,0.001051902770996,0.11476567387580872,2.8227
agm1000000214,0.0967030525207519,0.353243887424469,2.3653
agm1000013415,1.2294249534606934,1.31748628616333,2.3267
agm1000001505,2.0636048316955566,1.062426209449768,2.5659
agm1000010844,0.0012497901916503,0.04683539271354675,0.0
agm1000013830,0.1341223716735839,0.11051137745380402,0.0
agm1000010105,0.0395460128784179,0.1326305866241455,0.178
agm1000000345,0.0355854034423828,0.012484915554523468,0.0
agm1000008724,0.0146632194519042,-0.037532299757003784,0.0
agm1000011453,0.0134034156799316,0.04015544056892395,0.0
agm1000011905,0.0812239646911621,-0.0013458877801895142,0.0
agm1000008865,0.0651683807373046,0.022563815116882324,0.0
agm1000012154,0.2285137176513672,-0.01787710189819336,0.0196
