id,Tc_K,dosef,debye_K,lambda,wlog_K,sk_bandgap_eV
agm002163142,3.682000,5.394186,560.394043,0.487680,327.534954,0.001572
agm003766987,4.043000,7.518738,420.300018,0.519658,280.553979,0.005880
agm003187129,0.000000,1.872544,382.187195,0.173430,240.563404,0.001194
agm003186720,0.921000,3.139164,314.548370,0.409496,189.440685,0.006756
agm001611014,0.000000,2.593215,517.815796,0.196216,290.331147,0.001868
agm001317946,0.011000,3.628659,334.765717,0.253204,168.327333,0.002309
agm003283320,1.591000,2.683445,380.111633,0.437879,230.988351,0.004788
agm002232558,1.026000,3.302951,507.020233,0.387041,292.258836,0.000898
agm001616393,0.004000,3.150883,495.390167,0.230150,305.437238,0.001078
agm002164934,0.270000,4.814052,497.312988,0.317105,330.174938,0.000932
agm002327196,0.918000,3.975278,449.886322,0.390103,249.502340,0.022742
agm003165442,4.139000,3.481554,258.222748,0.644318,142.599627,0.006397
agm001192055,0.000000,0.634499,327.728180,0.039214,348.731154,1.126571
agm003771428,4.455000,6.107082,367.188080,0.578133,212.737124,0.004343
agm002692234,0.066000,7.099652,148.067017,0.315050,85.705057,0.003047
agm001610981,2.957000,3.129938,402.665741,0.492419,252.761027,0.002259
agm003762254,1.227000,5.385493,546.176514,0.396270,303.669621,0.001085
agm002140624,2.365000,4.948610,571.035217,0.517067,166.359006,0.005473
agm001305846,0.076000,0.913206,424.270966,0.288739,231.434983,0.001983
agm001610605,0.007000,2.776010,338.414856,0.246171,174.446117,0.005231
agm001277201,1.240000,1.386910,438.363800,0.394019,316.767521,0.013490
agm001614624,2.094000,3.834461,447.119141,0.477479,203.483282,0.002086
agm003186982,1.214000,1.014776,374.318207,0.370545,453.797226,0.004457
agm003188842,2.946000,2.702406,596.939697,0.457876,345.513307,0.000779
agm001234055,0.000000,5.396116,369.332062,0.210454,198.108516,0.003554
agm001614594,0.000000,2.847284,445.087982,0.172796,301.806475,0.000527
agm003183321,4.811000,2.940213,459.622589,0.587479,218.674224,0.004979
agm002215728,1.169000,0.842553,417.472290,0.379953,372.364166,0.047994
agm003296163,0.000000,1.841960,325.842010,0.100761,200.784336,0.002130
agm003721193,0.217000,2.430054,332.317810,0.338680,154.028819,0.000464
agm001233572,0.010000,2.232200,374.817596,0.248546,213.360399,0.001236
agm003636383,0.129000,2.045946,414.544952,0.307550,207.507831,0.000705
agm003739993,7.136000,2.182208,297.177917,0.959781,102.434232,0.001547
agm002740920,4.793000,4.445438,455.007263,0.573120,235.568806,0.007009
agm001121541,5.275000,2.783588,500.002045,0.600264,223.100282,0.034750
agm003163210,0.007000,3.154733,287.547455,0.242690,204.839885,0.013641
agm003774845,0.058000,6.936477,362.584503,0.288508,176.631186,0.001151
agm001133610,1.152000,4.824607,297.994965,0.415172,219.954485,0.006485
agm003628285,0.573000,4.589062,525.004883,0.356579,278.614168,0.001364
agm002314369,0.000000,2.402098,378.691650,0.133317,238.843929,0.001826
agm002165088,0.003000,1.003994,392.721710,0.226878,244.692603,0.019352
agm003763760,5.154000,6.730668,493.721924,0.553854,284.300419,0.000489
agm002382549,0.001000,2.088585,540.945679,0.212359,304.747743,0.002407
agm003142944,0.000000,1.042802,324.456207,0.160432,201.913508,0.003747
agm002635544,1.122000,4.155275,365.820496,0.466106,121.235421,0.003394
agm001291119,0.000000,0.002668,551.849792,0.092679,388.497387,0.006951
agm002029963,10.284000,18.904522,413.189606,0.795113,212.942014,0.000537
agm002201339,1.432000,2.472252,536.761353,0.408222,299.498879,0.004250
agm001945865,4.291000,3.769956,359.805267,0.510880,316.235228,0.002661
agm002141254,0.000000,1.183689,262.328278,0.155114,175.986822,0.016975
agm003191160,0.000000,2.529378,586.222351,0.206516,232.880536,0.012371
agm003263908,0.015000,3.801615,610.302246,0.246290,345.090587,0.001417
agm001295055,0.001000,1.710202,458.227905,0.213196,317.971432,0.007535
agm003559755,19.975000,2.143661,587.035034,1.265060,187.782497,0.004774
agm002183474,0.114000,4.152027,585.630737,0.289775,333.920898,0.002741
agm002946048,7.248000,3.384726,459.514221,0.762513,163.437560,0.000945
agm003191620,0.584000,1.191045,744.439697,0.349701,326.277946,0.005661
agm003190353,0.048000,3.463323,297.662567,0.288309,149.224633,0.000682
agm002139910,0.002000,0.968588,252.062851,0.224484,280.542356,0.004414
agm003264876,3.510000,15.762294,335.640778,0.569772,175.893425,0.005597
agm002536491,0.468000,4.568612,424.452820,0.372113,170.490169,0.007609
agm001181755,0.016000,3.796311,406.328766,0.255054,217.707453,0.004265
agm002348186,0.069000,5.624720,404.151703,0.287176,221.260562,0.002127
agm001357544,0.412000,2.984124,374.873718,0.373448,146.456839,0.007252
agm002153253,35.919000,0.162840,310.813751,0.816392,700.780126,0.018839
agm002134002,0.318000,2.592349,517.496460,0.344524,198.537013,0.008189
agm003295235,0.000000,1.393596,416.157257,0.161731,234.254270,0.005138
agm003263482,0.194000,4.334949,964.103088,0.295275,466.929743,0.001598
agm002495881,0.012000,2.167340,453.999603,0.247105,268.247766,0.012187
agm003160947,0.077000,0.712658,357.843719,0.287213,245.978475,0.034475
agm003438099,0.179000,6.161925,347.870361,0.326054,172.398979,0.002240
agm002164213,0.000000,2.391214,425.563812,0.208117,230.714145,0.011711
agm001417379,2.587000,3.894806,598.463867,0.455276,312.114724,0.000407
agm002153521,0.200000,2.208759,552.821228,0.306454,333.887526,0.000110
agm002188527,0.659000,4.324192,359.728912,0.387184,187.066509,0.008600
agm002691019,0.577000,1.371401,234.542587,0.406698,122.895408,0.009535
agm002160308,0.000000,0.536373,291.774872,0.155822,160.696230,1.118936
agm003202332,10.748000,4.732693,857.808350,0.672575,328.857848,0.018188
agm003192844,0.584000,3.080183,358.839691,0.387704,164.512688,0.013287
agm002487195,1.110000,4.439560,327.472992,0.401120,255.596518,0.002015
agm001121779,0.595000,1.456889,368.543823,0.373957,210.095133,0.004614
agm001235177,0.000000,-0.052090,412.402527,0.028228,312.887983,0.022500
agm002283378,0.055000,1.097947,425.380829,0.275259,288.773651,0.025813
agm003439302,0.216000,3.955414,408.887177,0.318628,253.524353,0.001437
agm003438101,0.012000,4.252594,417.604462,0.254424,179.863400,0.001913
agm003629769,3.550000,4.070577,385.618896,0.550333,200.250234,0.000759
agm002360017,0.815000,1.757569,301.796265,0.434050,123.342820,0.010596
agm003201681,4.710000,4.802662,820.624756,0.506880,359.203836,0.001052
agm001318006,0.030000,3.791928,345.009460,0.269782,196.805820,0.001417
agm001361026,0.020000,2.628906,364.938904,0.259561,220.058233,0.003047
agm002242162,0.001000,4.543070,446.616730,0.211494,228.850934,0.002935
agm002496294,6.149000,0.641898,385.999115,0.415692,1164.761993,0.024939
agm003189771,0.000000,3.087929,403.817902,0.185757,238.414400,0.002446
agm001186649,1.068000,4.097341,289.600159,0.394252,272.585338,0.004320
agm001612093,0.220000,4.263647,475.733643,0.322910,229.507497,0.001912
agm003299768,1.883000,3.289755,489.647736,0.457125,222.345322,0.005612
agm001171372,0.749000,3.303100,822.934814,0.349861,417.107685,0.016787
agm003436742,0.001000,7.092094,320.122894,0.218674,161.030722,0.000419
agm001148750,0.000000,0.972597,481.020172,0.129082,293.822829,0.005239
